ID,Age,Gender,Education,Country,Ethnicity,Income (USD),Nscore,Escore,Oscore,AScore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA,Consumo_alto,Consumo_total,Sao_Impulsivos,Consumo_CL6,Consumo_CL6_CL5,uso_ilegal_drugs,uso_legal_drugs
469,35-44,M,University degree,UK,White,1000.0,-0.05188,0.16767,-0.71727,-0.30172,0.12331,-1.37983,-1.18084,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,True,True,False,True,True,False,True
470,25-34,M,University degree,UK,White,1000.0,-1.1943,1.74091,1.43533,0.76096,-0.00665,0.88113,1.2247,CL5,CL3,CL2,CL0,CL6,CL3,CL5,CL3,CL0,CL3,CL0,CL0,CL2,CL3,CL0,CL2,CL6,CL0,CL0,True,True,True,True,True,True,True
471,45-54,F,Left school at 16 years,USA,White,1000.0,2.82196,-1.6334,-1.42424,1.61108,-2.04506,-0.21712,0.07987,CL3,CL1,CL1,CL6,CL6,CL1,CL6,CL1,CL1,CL1,CL2,CL0,CL0,CL1,CL6,CL0,CL6,CL0,CL0,True,True,False,True,True,True,True
472,18-24,F,University degree,UK,White,1000.0,0.13606,0.80523,0.29338,-0.15487,0.7583,-0.71126,-0.84637,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,True,True,False,True,True,False,True
473,18-24,M,Masters degree,UK,Mixed-White/Black,1000.0,-0.92104,2.57309,1.06238,1.11406,2.33337,-0.21712,0.40148,CL5,CL2,CL2,CL2,CL6,CL6,CL5,CL2,CL0,CL3,CL0,CL0,CL2,CL3,CL0,CL3,CL6,CL0,CL0,True,True,False,True,True,True,True
474,18-24,F,Left school before 16 years,UK,White,1000.0,0.31287,0.00332,-0.17779,1.2861,-0.00665,0.19268,-0.21575,CL5,CL2,CL2,CL2,CL6,CL3,CL5,CL2,CL2,CL2,CL2,CL0,CL2,CL2,CL2,CL0,CL6,CL0,CL2,True,True,True,True,True,True,True
475,35-44,F,"Some college or university, no certificate or degree",USA,White,1000.0,1.37297,0.00332,-0.45174,-0.76096,-0.52745,0.88113,-0.21575,CL2,CL0,CL0,CL3,CL6,CL6,CL5,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL6,CL0,CL0,True,True,True,True,True,True,True
476,55-64,F,University degree,UK,Mixed-White/Asian,1000.0,-0.24649,0.96248,0.14143,-0.15487,0.41594,-1.37983,-2.07848,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,True,True,False,True,True,False,True
477,45-54,F,University degree,USA,White,1000.0,-1.1943,0.96248,-0.45174,0.76096,0.93949,-0.71126,-0.84637,CL3,CL1,CL0,CL0,CL6,CL6,CL4,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL1,CL0,CL0,True,True,False,True,True,True,True
478,35-44,M,University degree,UK,White,1000.0,1.72012,-0.94779,0.58331,-1.772,-0.40581,0.19268,-0.84637,CL6,CL0,CL0,CL0,CL6,CL2,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL3,True,True,True,True,True,True,True
479,35-44,F,Professional certificate/ diploma,UK,White,1000.0,1.49158,-0.69509,-0.71727,-1.21213,-1.25773,1.29221,0.7654,CL6,CL0,CL1,CL6,CL6,CL2,CL5,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0,True,True,True,True,True,True,True
480,25-34,F,University degree,UK,White,1000.0,0.41667,0.80523,-0.31776,0.94156,0.58489,-0.21712,0.07987,CL6,CL0,CL0,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,True,True,False,True,True,False,True
481,25-34,F,Masters degree,Australia,White,1000.0,0.41667,-0.43999,1.43533,1.45039,0.25953,0.19268,-0.0009527863612147,CL6,CL0,CL0,CL2,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0,True,True,True,True,True,False,True
482,18-24,M,"Some college or university, no certificate or degree",USA,White,1000.0,1.13281,-0.80615,-0.17779,-1.34289,-0.65253,-1.37983,-0.84637,CL3,CL3,CL0,CL3,CL6,CL3,CL4,CL3,CL0,CL3,CL3,CL3,CL3,CL3,CL3,CL3,CL6,CL0,CL0,True,True,False,True,True,True,True
483,35-44,F,University degree,Australia,White,1000.0,1.02119,0.16767,0.29338,-0.15487,0.58489,0.19268,0.40148,CL6,CL2,CL1,CL6,CL6,CL3,CL5,CL2,CL0,CL2,CL1,CL1,CL0,CL1,CL2,CL1,CL6,CL0,CL0,True,True,True,True,True,True,True
484,35-44,M,"Some college or university, no certificate or degree",UK,White,1000.0,-0.67825,-0.15487,0.29338,0.13136,1.63088,-0.71126,-0.21575,CL0,CL1,CL0,CL0,CL6,CL6,CL2,CL1,CL0,CL1,CL1,CL0,CL0,CL1,CL0,CL1,CL3,CL0,CL1,True,True,False,True,True,True,True
485,25-34,F,University degree,UK,White,1000.0,1.23461,0.47617,1.43533,0.28783,0.93949,0.19268,-0.84637,CL2,CL0,CL2,CL2,CL5,CL6,CL5,CL0,CL0,CL4,CL0,CL3,CL2,CL0,CL0,CL3,CL3,CL0,CL0,True,True,True,True,True,True,True
486,35-44,F,Left school at 16 years,UK,White,1000.0,-0.58016,0.96248,-0.58331,0.76096,-0.27607,-1.37983,-1.18084,CL4,CL1,CL1,CL0,CL6,CL6,CL6,CL1,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0,True,True,False,True,True,True,True
487,45-54,F,Left school at 16 years,UK,White,1000.0,-0.46725,0.32197,-1.55521,1.11406,-0.78155,-1.37983,-0.84637,CL6,CL0,CL1,CL0,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0,True,True,False,True,True,True,True
488,25-34,M,Left school at 18 years,Other,White,1000.0,1.49158,-1.6334,1.06238,-0.76096,-1.38502,-0.71126,-1.18084,CL5,CL5,CL0,CL2,CL6,CL5,CL4,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL5,CL0,CL1,True,True,False,True,True,True,True
489,35-44,F,Left school at 18 years,USA,White,1000.0,1.8399,-1.7625,1.24033,-1.07533,0.25953,0.19268,-0.52593,CL4,CL0,CL0,CL6,CL6,CL6,CL6,CL1,CL1,CL0,CL1,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0,True,True,True,True,True,True,True
490,25-34,M,Left school at 16 years,UK,White,1000.0,0.41667,-1.37639,0.14143,0.76096,-0.40581,-0.21712,1.2247,CL6,CL3,CL2,CL2,CL6,CL6,CL6,CL3,CL0,CL3,CL0,CL0,CL3,CL0,CL0,CL2,CL3,CL0,CL2,True,True,False,True,True,True,True
491,18-24,M,Left school before 16 years,UK,White,1000.0,1.98437,-1.37639,0.29338,-1.92595,-1.64101,-0.21712,0.07987,CL3,CL0,CL0,CL0,CL0,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,True,True,False,True,True,True,True
492,18-24,M,"Some college or university, no certificate or degree",UK,White,1000.0,-1.05308,1.11406,0.88309,-1.34289,-1.38502,-0.71126,1.2247,CL5,CL0,CL0,CL0,CL6,CL6,CL5,CL3,CL0,CL4,CL0,CL3,CL4,CL4,CL0,CL4,CL5,CL0,CL0,True,True,False,True,True,True,True
493,45-54,F,Professional certificate/ diploma,UK,White,1000.0,0.62967,0.80523,0.44585,-0.30172,-0.78155,1.29221,1.92173,CL5,CL1,CL1,CL1,CL6,CL6,CL5,CL1,CL1,CL1,CL1,CL0,CL0,CL1,CL1,CL1,CL6,CL0,CL0,True,True,True,True,True,True,True
494,18-24,M,Left school at 18 years,UK,White,1000.0,-0.92104,0.47617,0.44585,0.59042,-0.00665,0.19268,0.40148,CL6,CL2,CL2,CL0,CL5,CL6,CL4,CL3,CL0,CL4,CL0,CL2,CL3,CL0,CL0,CL3,CL4,CL0,CL2,True,True,True,True,True,True,True
495,18-24,M,Professional certificate/ diploma,UK,White,1000.0,0.52135,-0.57545,0.88309,-0.01729,0.25953,0.88113,0.7654,CL5,CL0,CL4,CL4,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0,CL0,CL6,CL0,CL0,True,True,True,True,True,True,True
496,18-24,M,"Some college or university, no certificate or degree",UK,White,1000.0,0.73545,-1.6334,0.88309,-1.21213,-1.64101,-1.37983,-0.52593,CL6,CL0,CL0,CL0,CL6,CL3,CL5,CL0,CL0,CL5,CL0,CL3,CL3,CL4,CL0,CL4,CL6,CL0,CL0,True,True,False,True,True,True,True
497,18-24,M,Professional certificate/ diploma,Other,Other,1000.0,-1.1943,-0.43999,0.44585,0.59042,0.12331,-1.37983,-0.21575,CL4,CL0,CL2,CL0,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0,True,True,False,True,True,True,True
498,55-64,M,"Some college or university, no certificate or degree",EUA,White,1000.0,-0.79151,0.16767,0.58331,0.59042,0.93949,-1.37983,-0.52593,CL3,CL1,CL0,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL3,CL1,CL4,CL0,CL6,CL0,CL0,True,True,False,True,True,True,True
499,25-34,M,Masters degree,UK,White,1000.0,0.04257,1.2861,2.90161,-0.60633,-0.00665,-0.71126,0.07987,CL6,CL2,CL2,CL2,CL6,CL2,CL6,CL2,CL0,CL2,CL0,CL0,CL0,CL2,CL0,CL2,CL6,CL0,CL0,True,True,False,True,True,False,True
500,25-34,M,Left school at 16 years,Other,White,1000.0,-0.05188,-0.57545,0.88309,0.43852,-0.78155,-0.21712,0.07987,CL4,CL1,CL1,CL0,CL6,CL6,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL1,True,True,False,True,True,True,True
501,55-64,F,"Some college or university, no certificate or degree",UK,White,1000.0,1.37297,-0.69509,1.43533,-0.15487,-1.92173,0.88113,1.2247,CL5,CL1,CL1,CL3,CL6,CL6,CL6,CL2,CL2,CL2,CL1,CL0,CL2,CL1,CL1,CL1,CL2,CL0,CL0,True,True,True,True,True,True,True
502,35-44,F,Professional certificate/ diploma,Republic of Ireland,White,1000.0,0.04257,0.47617,-0.84732,-0.76096,1.13407,0.52975,0.7654,CL3,CL0,CL1,CL2,CL6,CL6,CL6,CL4,CL0,CL4,CL0,CL0,CL3,CL0,CL0,CL0,CL6,CL0,CL1,True,True,True,True,True,True,True
503,25-34,F,Professional certificate/ diploma,UK,White,1000.0,-0.58016,-0.15487,-1.42424,-0.01729,-0.40581,0.88113,-2.07848,CL3,CL1,CL0,CL0,CL6,CL2,CL5,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL2,CL0,CL6,CL0,CL1,True,True,True,True,True,False,True
504,18-24,M,"Some college or university, no certificate or degree",USA,White,1000.0,-1.55078,0.63779,-0.31776,-0.60633,-0.27607,0.52975,0.7654,CL5,CL0,CL0,CL0,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL3,CL5,CL0,CL0,True,True,True,True,True,True,True
505,55-64,F,Professional certificate/ diploma,Canada,White,1000.0,0.04257,-0.30033,-0.31776,-0.76096,0.58489,1.29221,0.7654,CL1,CL0,CL1,CL4,CL5,CL5,CL4,CL1,CL1,CL0,CL0,CL0,CL6,CL1,CL4,CL1,CL1,CL0,CL1,True,True,True,True,True,True,True
506,35-44,M,Left school at 16 years,UK,White,1000.0,-0.05188,0.00332,-0.31776,-0.01729,0.41594,-1.37983,-1.18084,CL1,CL0,CL0,CL0,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL0,True,True,False,True,True,True,True
507,45-54,M,Professional certificate/ diploma,Other,White,1000.0,0.41667,0.47617,0.29338,-1.07533,-1.13788,0.88113,0.07987,CL3,CL1,CL0,CL3,CL6,CL2,CL6,CL2,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0,True,True,True,True,True,True,True
508,35-44,M,University degree,UK,White,1000.0,-0.46725,0.63779,0.88309,-0.76096,0.58489,0.19268,0.07987,CL4,CL2,CL3,CL1,CL6,CL2,CL5,CL1,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL3,CL2,CL0,CL1,True,True,True,True,True,True,True
509,25-34,M,University degree,UK,White,1000.0,0.13606,-0.30033,-0.97631,-1.34289,-0.00665,0.19268,-0.52593,CL3,CL2,CL3,CL0,CL5,CL6,CL6,CL3,CL0,CL2,CL0,CL2,CL0,CL0,CL0,CL2,CL6,CL0,CL0,True,True,True,True,True,True,True
510,35-44,M,Left school at 16 years,UK,White,1000.0,1.49158,-1.09207,-1.11902,-1.772,-0.78155,-0.71126,0.07987,CL5,CL2,CL2,CL3,CL5,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL2,CL0,CL0,True,True,False,True,True,True,True
511,35-44,F,Masters degree,Other,White,1000.0,-1.05308,1.11406,-0.31776,0.28783,0.12331,-1.37983,-0.52593,CL5,CL0,CL0,CL0,CL5,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,True,True,False,False,True,False,True
512,35-44,M,University degree,UK,White,1000.0,0.04257,0.96248,-0.58331,-0.30172,-0.40581,0.52975,-0.21575,CL5,CL2,CL2,CL0,CL6,CL5,CL5,CL2,CL1,CL2,CL0,CL1,CL0,CL1,CL0,CL1,CL5,CL0,CL0,True,True,True,True,True,True,True
513,45-54,F,Masters degree,UK,White,1000.0,0.41667,0.47617,-0.17779,-0.15487,0.25953,-0.21712,-1.18084,CL5,CL1,CL1,CL1,CL6,CL5,CL6,CL1,CL1,CL0,CL1,CL0,CL0,CL1,CL1,CL0,CL5,CL0,CL0,True,True,False,True,True,True,True
514,18-24,M,"Some college or university, no certificate or degree",UK,White,1000.0,0.41667,0.47617,0.58331,0.13136,-1.0145,1.86203,0.40148,CL6,CL3,CL0,CL0,CL6,CL6,CL6,CL3,CL0,CL3,CL0,CL0,CL3,CL0,CL5,CL0,CL6,CL0,CL0,True,True,True,True,True,True,True
515,55-64,M,Left school at 16 years,USA,White,1000.0,-0.14882,-0.30033,-0.17779,0.76096,0.41594,-0.21712,-0.21575,CL3,CL2,CL1,CL1,CL6,CL5,CL6,CL4,CL3,CL3,CL1,CL0,CL0,CL1,CL2,CL1,CL6,CL0,CL1,True,True,False,True,True,True,True
516,35-44,M,Left school at 16 years,UK,White,1000.0,0.91093,-0.30033,-1.55521,-0.45321,-0.27607,-0.21712,-0.21575,CL6,CL0,CL0,CL0,CL5,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0,True,True,False,True,True,False,True
517,18-24,F,Left school at 17 years,USA,White,1000.0,-1.43907,1.93886,0.44585,0.13136,0.25953,0.88113,1.92173,CL5,CL3,CL0,CL5,CL6,CL6,CL5,CL0,CL0,CL3,CL0,CL0,CL4,CL0,CL4,CL3,CL6,CL0,CL2,True,True,True,True,True,True,True
518,35-44,F,Left school at 16 years,UK,White,1000.0,-0.14882,0.16767,-0.71727,-1.6209,0.25953,-0.21712,-0.52593,CL6,CL2,CL2,CL2,CL6,CL2,CL6,CL2,CL2,CL1,CL2,CL1,CL0,CL0,CL2,CL2,CL6,CL0,CL1,True,True,False,True,True,False,True
519,25-34,F,Masters degree,UK,White,1000.0,0.31287,-0.15487,0.29338,-0.45321,0.93949,-0.71126,-0.21575,CL2,CL0,CL2,CL3,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,True,True,False,True,True,True,True
520,25-34,M,Professional certificate/ diploma,Other,White,1000.0,0.52135,-0.57545,0.14143,-0.15487,-0.78155,0.52975,1.2247,CL2,CL3,CL2,CL6,CL6,CL6,CL6,CL3,CL0,CL3,CL3,CL0,CL0,CL2,CL2,CL0,CL6,CL0,CL1,True,True,True,True,True,True,True
521,25-34,M,Masters degree,UK,White,1000.0,-0.14882,0.32197,-1.27553,1.11406,1.81175,0.52975,1.2247,CL5,CL2,CL2,CL4,CL5,CL3,CL5,CL2,CL2,CL3,CL2,CL2,CL0,CL0,CL0,CL0,CL5,CL0,CL2,True,True,True,False,True,True,True
522,35-44,F,University degree,UK,White,1000.0,0.22393,-0.30033,-0.97631,-0.76096,0.93949,-1.37983,-2.07848,CL5,CL0,CL2,CL0,CL6,CL3,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0,True,True,False,True,True,True,True
523,45-54,F,Left school at 16 years,Australia,White,1000.0,0.62967,-0.30033,-0.84732,-0.45321,0.12331,-0.71126,-1.18084,CL3,CL0,CL0,CL6,CL5,CL4,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0,True,True,False,True,True,True,True
524,18-24,M,"Some college or university, no certificate or degree",USA,White,1000.0,0.04257,0.32197,-0.01928,-1.34289,-0.14277,0.52975,0.07987,CL5,CL0,CL0,CL0,CL6,CL6,CL5,CL0,CL0,CL3,CL0,CL0,CL0,CL3,CL0,CL3,CL6,CL0,CL0,True,True,True,True,True,True,True
525,18-24,M,"Some college or university, no certificate or degree",UK,White,1000.0,-0.24649,0.47617,-0.17779,-0.76096,-1.25773,0.19268,0.07987,CL5,CL0,CL0,CL0,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0,CL0,CL6,CL0,CL0,True,True,True,True,True,True,True
526,35-44,F,Left school before 16 years,UK,White,1000.0,0.13606,-0.80615,-1.82919,0.13136,0.41594,-1.37983,-2.07848,CL2,CL2,CL2,CL2,CL6,CL2,CL5,CL2,CL2,CL2,CL2,CL0,CL0,CL1,CL2,CL0,CL3,CL0,CL1,True,True,False,True,True,False,True
527,45-54,F,University degree,Australia,White,1000.0,-0.67825,0.63779,1.06238,2.03972,2.63199,0.19268,0.07987,CL5,CL1,CL1,CL6,CL0,CL6,CL3,CL1,CL1,CL1,CL0,CL0,CL0,CL3,CL6,CL1,CL0,CL0,CL1,True,True,True,True,True,True,True
528,55-64,M,Left school at 18 years,UK,White,1000.0,-1.86962,0.47617,-1.11902,-0.01729,0.41594,-0.71126,-0.52593,CL6,CL0,CL0,CL0,CL6,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,True,True,False,True,True,False,True
529,18-24,M,Professional certificate/ diploma,UK,White,1000.0,0.91093,-1.37639,-0.31776,-1.92595,-1.38502,0.88113,0.07987,CL4,CL0,CL2,CL0,CL4,CL5,CL5,CL4,CL0,CL3,CL0,CL0,CL2,CL0,CL3,CL0,CL4,CL0,CL0,True,True,True,False,True,True,True
530,35-44,M,Doctorate degree,UK,White,1000.0,0.62967,-0.15487,-0.17779,0.59042,-1.64101,0.52975,-0.21575,CL6,CL0,CL0,CL0,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,True,True,True,True,True,False,True
531,25-34,F,Professional certificate/ diploma,UK,White,1000.0,0.73545,1.11406,-0.01928,-0.01729,-0.00665,-0.21712,1.2247,CL5,CL2,CL2,CL1,CL6,CL3,CL6,CL5,CL0,CL2,CL0,CL1,CL0,CL1,CL0,CL2,CL5,CL0,CL1,True,True,False,True,True,True,True
532,55-64,M,University degree,UK,White,1000.0,0.91093,0.00332,0.58331,-1.92595,0.58489,-0.21712,-1.18084,CL5,CL0,CL0,CL0,CL6,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,True,True,False,True,True,False,True
533,45-54,M,University degree,UK,White,1000.0,1.02119,-1.50796,-0.71727,0.28783,-0.89891,-0.21712,0.7654,CL5,CL2,CL1,CL2,CL6,CL6,CL5,CL3,CL3,CL2,CL1,CL0,CL0,CL2,CL2,CL2,CL6,CL0,CL1,True,True,False,True,True,True,True
534,18-24,F,University degree,UK,White,1000.0,-0.24649,0.16767,-0.71727,1.61108,1.13407,0.19268,-1.18084,CL4,CL0,CL0,CL2,CL5,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,True,True,True,False,True,False,True
535,25-34,M,Masters degree,UK,White,1000.0,-0.34799,-0.15487,-0.71727,-1.6209,-0.65253,0.52975,0.07987,CL4,CL0,CL0,CL0,CL5,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,True,True,True,True,True,False,True
536,35-44,F,Masters degree,UK,White,1000.0,-1.86962,2.32338,-0.45174,1.45039,1.46191,0.19268,-1.18084,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,True,True,True,True,True,False,True
537,25-34,F,University degree,USA,White,1000.0,0.91093,0.00332,0.88309,-2.07848,-0.52745,0.19268,-0.21575,CL5,CL4,CL0,CL6,CL6,CL2,CL4,CL6,CL0,CL2,CL3,CL2,CL0,CL2,CL3,CL2,CL6,CL0,CL1,True,True,True,True,True,True,True
538,18-24,F,University degree,UK,White,1000.0,1.37297,0.80523,-0.97631,0.94156,-0.65253,0.52975,0.07987,CL6,CL0,CL3,CL0,CL5,CL4,CL5,CL3,CL0,CL3,CL0,CL0,CL3,CL0,CL0,CL0,CL3,CL0,CL0,True,True,True,True,True,True,True
539,45-54,F,"Some college or university, no certificate or degree",UK,Asian,1000.0,0.73545,-0.30033,-1.27553,0.76096,-0.89891,-1.37983,-1.54858,CL0,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0,True,True,False,True,True,False,True
540,35-44,F,University degree,UK,White,1000.0,1.13281,-0.30033,-0.01928,0.59042,0.58489,0.19268,0.40148,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,True,True,True,True,True,False,True
541,45-54,M,Masters degree,UK,White,1000.0,-1.32828,1.2861,-0.17779,0.59042,1.81175,-2.55524,-1.18084,CL6,CL0,CL0,CL1,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,True,True,False,True,True,False,True
542,45-54,F,University degree,UK,White,1000.0,-1.05308,0.32197,-0.17779,-0.91699,0.12331,-1.37983,-1.54858,CL5,CL0,CL0,CL2,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,True,True,False,True,True,False,True
543,45-54,F,University degree,Other,Black,1000.0,0.22393,0.80523,-0.01928,0.76096,0.41594,0.19268,0.07987,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,True,True,True,True,True,False,True
544,35-44,M,Left school at 17 years,UK,White,1000.0,0.73545,0.80523,0.88309,-1.21213,-1.0145,0.19268,1.2247,CL6,CL1,CL1,CL5,CL6,CL5,CL5,CL2,CL0,CL2,CL1,CL2,CL4,CL1,CL0,CL1,CL6,CL0,CL1,True,True,True,True,True,True,True
545,25-34,F,University degree,UK,White,1000.0,0.82562,0.63779,-0.97631,-0.76096,0.25953,-0.21712,-0.21575,CL6,CL0,CL0,CL0,CL5,CL0,CL5,CL2,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0,True,True,False,True,True,False,True
546,18-24,F,Left school at 16 years,UK,White,1000.0,1.23461,-0.57545,-0.71727,-0.76096,-1.0145,1.29221,-0.21575,CL5,CL0,CL2,CL0,CL6,CL4,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL1,True,True,True,True,True,True,True
547,35-44,F,Professional certificate/ diploma,UK,White,1000.0,1.60383,0.16767,-0.45174,0.59042,-0.78155,-0.71126,-0.21575,CL5,CL0,CL0,CL2,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,True,True,False,True,True,False,True
548,45-54,F,"Some college or university, no certificate or degree",USA,White,1000.0,-0.92104,-0.43999,0.88309,3.15735,-0.00665,-1.37983,-1.18084,CL2,CL2,CL0,CL2,CL6,CL2,CL6,CL2,CL2,CL0,CL0,CL0,CL0,CL1,CL2,CL0,CL6,CL0,CL0,True,True,False,True,True,False,True
549,25-34,F,Masters degree,UK,White,1000.0,-1.86962,-0.69509,-0.97631,-0.45321,2.04506,-1.37983,-0.84637,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,True,True,False,True,True,False,True
550,18-24,M,University degree,UK,White,1000.0,1.23461,-0.43999,0.14143,0.13136,-1.78169,0.52975,-1.18084,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,True,True,True,True,True,False,True
551,25-34,F,Masters degree,Other,White,1000.0,-1.1943,1.11406,0.14143,-0.60633,-0.14277,-0.21712,-0.84637,CL4,CL0,CL0,CL0,CL5,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0,True,True,False,False,True,False,True
552,18-24,F,University degree,UK,White,1000.0,-0.14882,-0.43999,-1.42424,0.76096,1.30612,-1.37983,-0.52593,CL6,CL0,CL0,CL0,CL6,CL3,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,True,True,False,True,True,True,True
553,35-44,F,Masters degree,UK,White,1000.0,-0.79151,1.2861,0.14143,-1.07533,1.13407,-0.21712,1.2247,CL4,CL2,CL1,CL0,CL6,CL4,CL5,CL3,CL0,CL3,CL0,CL3,CL3,CL3,CL0,CL3,CL3,CL0,CL0,True,True,False,True,True,True,True
554,18-24,F,Masters degree,UK,White,1000.0,1.72012,-1.50796,-0.17779,0.76096,0.25953,-0.21712,-1.18084,CL2,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,True,True,False,True,True,False,True
555,25-34,F,Masters degree,Other,Mixed-White/Black,1000.0,1.02119,-1.92173,-0.45174,-0.01729,0.41594,-0.71126,-2.07848,CL6,CL0,CL0,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,True,True,False,True,True,False,True
556,25-34,F,Doctorate degree,UK,White,1000.0,0.62967,0.47617,-0.45174,-0.01729,1.30612,0.52975,0.07987,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,True,True,True,True,True,False,True
